cmTop_i                   ,ageTop_i,charCount_i            ,charVol_i       ,charCon_i,charAcc_i,charBkg,charPeak,thresh1,thresh2,thresh3,threshFinal,threshFinalNeg,SNI,threshGOF,peak1,peaks2,peaks3,peaksFinal,peaksInsig,peakMag,smPeakFrequ,smFRIs
NaN                             ,-60,0,0,0,0,2.88E-05,-2.88E-05,6.82E-06,9.90E-06,1.34E-05,1.34E-05,-1.46E-05,1.198,0.12048,0,0,0,0,0,0,3.8742,NaN                            
NaN                             ,-50,6.12E-06,0.1,6.12E-06,3.06E-07,2.84E-05,-2.81E-05,6.66E-06,9.69E-06,1.31E-05,1.31E-05,-1.44E-05,1.4719,0.13399,0,0,0,0,0,0,3.8643,NaN                            
6.7,-40,8.79E-05,1,8.79E-05,2.90E-05,2.80E-05,1.03E-06,6.51E-06,9.48E-06,1.28E-05,1.28E-05,-1.41E-05,1.7515,0.1972,0,0,0,0,0,0,3.8543,NaN                            
10,-30,0.00011518,1,0.00011518,3.40E-05,2.76E-05,6.38E-06,6.35E-06,9.27E-06,1.25E-05,1.25E-05,-1.39E-05,2.0372,0.22126,0,0,0,0,0,0,3.8442,NaN                            
12.95,-20,0.000141,1,0.000141,3.45E-05,2.72E-05,7.33E-06,6.20E-06,9.06E-06,1.23E-05,1.23E-05,-1.37E-05,2.3291,0.27269,1,0,0,0,0,0,3.834,NaN                            
15.4,-10,0.0001392,1,0.0001392,3.20E-05,2.68E-05,5.18E-06,6.05E-06,8.85E-06,1.20E-05,1.20E-05,-1.34E-05,2.6275,0.32204,0,0,0,0,0,0,3.8237,NaN                            
17.7,0,0.0002044,1,0.0002044,3.41E-05,2.65E-05,7.61E-06,5.90E-06,8.65E-06,1.17E-05,1.17E-05,-1.32E-05,2.9324,0.44776,0,0,0,0,0,0,3.8133,NaN                            
19.3667,10,0.0003012,1,0.0003012,4.32E-05,2.61E-05,1.71E-05,5.75E-06,8.44E-06,1.15E-05,1.15E-05,-1.30E-05,3.2441,0.55887,0,0,0,0,0,0,3.8028,NaN                            
20.8,20,0.0002518,1,0.0002518,4.03E-05,2.57E-05,1.46E-05,5.60E-06,8.24E-06,1.12E-05,1.12E-05,-1.28E-05,3.5625,0.56845,0,1,1,1,0,9.87E-05,3.7922,NaN                            
22.4,30,0.0002278,1,0.0002278,3.27E-05,2.54E-05,7.29E-06,5.46E-06,8.05E-06,1.09E-05,1.09E-05,-1.25E-05,3.8877,0.45239,1,0,0,0,0,0,3.7815,NaN                            
23.8333,40,0.0001897,1,0.0001897,2.72E-05,2.50E-05,2.18E-06,5.31E-06,7.85E-06,1.07E-05,1.07E-05,-1.23E-05,4.2196,0.57622,0,0,0,0,0,0,3.7707,NaN                            
25.2667,50,0.0001222,1,0.0001222,2.00E-05,2.47E-05,-4.70E-06,5.17E-06,7.65E-06,1.04E-05,1.04E-05,-1.21E-05,4.5581,0.70728,0,0,0,0,0,0,3.7597,NaN                            
26.9,60,0.0001203,1,0.0001203,2.01E-05,2.43E-05,-4.26E-06,5.03E-06,7.46E-06,1.02E-05,1.02E-05,-1.19E-05,4.9032,0.77801,0,0,0,0,0,0,3.7487,NaN                            
28.5667,70,0.0001155,1,0.0001155,2.04E-05,2.40E-05,-3.55E-06,4.89E-06,7.27E-06,9.94E-06,9.94E-06,-1.17E-05,5.2545,0.77946,0,0,0,0,0,0,3.7376,NaN                            
30.3333,80,0.00010738,1,0.00010738,1.90E-05,2.36E-05,-4.64E-06,4.75E-06,7.08E-06,9.69E-06,9.69E-06,-1.14E-05,5.6119,0.80873,0,0,0,0,0,0,3.7263,NaN                            
32.1,90,9.97E-05,1,9.97E-05,1.70E-05,2.33E-05,-6.31E-06,4.62E-06,6.90E-06,9.45E-06,9.45E-06,-1.12E-05,5.975,0.77258,0,0,0,0,0,0,3.715,NaN                            
33.8,100,8.72E-05,1,8.72E-05,1.54E-05,2.29E-05,-7.51E-06,4.48E-06,6.71E-06,9.21E-06,9.21E-06,-1.10E-05,6.3433,0.59947,0,0,0,0,0,0,3.7036,NaN                            
35.5667,110,0.00011751,1,0.00011751,1.98E-05,2.26E-05,-2.79E-06,4.35E-06,6.53E-06,8.97E-06,8.97E-06,-1.08E-05,6.7163,0.87708,0,0,0,0,0,0,3.6921,280.4113
37.25,120,0.00010881,1,0.00010881,1.90E-05,2.22E-05,-3.18E-06,4.21E-06,6.34E-06,8.73E-06,8.73E-06,-1.06E-05,7.0933,0.92951,0,0,0,0,0,0,3.6805,281.573
