cmTop,cmBot,ageTop,ageBot,dummyVar,MS_shifted_trans,MS_raw_SI,MS_shifted
6.2,6.7,-41,-40,1,6.12E-05,1.20E-05,3.06E-05
6.7,7.3,-40,-38,1,1.02E-04,1.20E-05,3.06E-05
7.3,7.8,-38,-37,1,6.02E-05,1.15E-05,3.01E-05
7.8,8.3,-37,-36,1,6.32E-05,1.30E-05,3.16E-05
8.3,8.9,-36,-34,1,9.44E-05,9.73E-06,2.83E-05
8.9,9.4,-34,-32,1,1.01E-04,6.69E-06,2.53E-05
9.4,10,-32,-30,1,8.06E-05,5.59E-06,2.42E-05
10,10.5,-30,-28,1,1.12E-04,9.44E-06,2.80E-05
10.5,11,-28,-27,1,5.98E-05,1.13E-05,2.99E-05
11,11.6,-27,-24,1,1.60E-04,1.34E-05,3.20E-05
11.6,12.1,-24,-23,1,5.80E-05,1.04E-05,2.90E-05
12.1,12.7,-23,-21,1,1.01E-04,1.16E-05,3.02E-05
12.7,13.2,-21,-19,1,1.28E-04,1.35E-05,3.21E-05
13.2,13.8,-19,-17,1,1.01E-04,1.16E-05,3.02E-05
13.8,14.3,-17,-15,1,1.32E-04,1.45E-05,3.31E-05
14.3,14.8,-15,-13,1,1.38E-04,1.60E-05,3.46E-05
14.8,15.4,-13,-10,1,1.80E-04,1.73E-05,3.59E-05
15.4,15.9,-10,-8,1,1.25E-04,1.27E-05,3.13E-05
15.9,16.5,-8,-5,1,1.50E-04,1.14E-05,3.00E-05
16.5,17,-5,-3,1,1.27E-04,1.31E-05,3.17E-05
17,17.5,-3,-1,1,1.38E-04,1.58E-05,3.44E-05
17.5,18.1,-1,2,1,1.62E-04,1.37E-05,3.23E-05
18.1,18.6,2,5,1,1.98E-04,1.44E-05,3.30E-05
18.6,19.2,5,9,1,2.21E-04,1.45E-05,3.31E-05
19.2,19.7,9,12,1,2.42E-04,2.17E-05,4.03E-05
19.7,20.2,12,16,1,3.43E-04,2.43E-05,4.29E-05
20.2,20.8,16,20,1,2.89E-04,2.47E-05,4.33E-05
20.8,21.3,20,23,1,2.66E-04,2.58E-05,4.44E-05
21.3,21.9,23,27,1,2.71E-04,2.20E-05,4.06E-05
21.9,22.4,27,30,1,2.12E-04,1.67E-05,3.53E-05
22.4,22.9,30,34,1,2.63E-04,1.43E-05,3.29E-05
22.9,23.5,34,38,1,2.20E-04,1.44E-05,3.30E-05
23.5,24,38,41,1,1.73E-04,1.02E-05,2.88E-05
24,24.6,41,46,1,2.34E-04,9.45E-06,2.81E-05
24.6,25.1,46,49,1,1.45E-04,5.52E-06,2.41E-05
25.1,25.6,49,52,1,1.19E-04,1.29E-06,1.99E-05
25.6,26.2,52,56,1,1.28E-04,6.26E-07,1.92E-05
26.2,26.7,56,59,1,1.23E-04,1.97E-06,2.06E-05
26.7,27.3,59,62,1,1.03E-04,2.05E-06,2.07E-05
27.3,27.8,62,65,1,1.06E-04,-8.67E-07,1.77E-05
