sampleCm,calAge,calAgeUci,calAgeLci,sedAcc,sedAccUci,sedAccLci,sampleRes,sampleResUci,sampleResLci
0.8,-60.09,-59.35,-60.82,0.387,0.547,0.302,1.29,1.66,0.91
1.3,-58.79,-58.18,-59.33,0.359,0.454,0.294,1.67,2.04,1.32
1.9,-57.11,-56.51,-57.73,0.314,0.356,0.279,1.59,1.79,1.4
2.4,-55.51,-54.9,-56.16,0.269,0.315,0.237,1.86,2.11,1.59
2.9,-53.66,-53.1,-54.22,0.236,0.271,0.209,2.54,2.88,2.21
3.5,-51.12,-50.54,-51.67,0.217,0.246,0.194,2.3,2.57,2.04
4,-48.82,-48.19,-49.41,0.226,0.258,0.203,2.65,2.95,2.33
4.6,-46.18,-45.52,-46.91,0.27,0.306,0.244,1.85,2.05,1.63
5.1,-44.33,-43.64,-45.03,0.322,0.388,0.277,1.55,1.81,1.29
5.6,-42.78,-42.05,-43.49,0.374,0.474,0.311,1.6,1.93,1.27
6.2,-41.18,-40.4,-41.95,0.406,0.504,0.339,1.23,1.47,0.99
6.7,-39.95,-39.11,-40.77,0.406,0.508,0.341,1.48,1.76,1.18
7.3,-38.47,-37.59,-39.26,0.39,0.501,0.317,1.28,1.58,1
7.8,-37.19,-36.34,-38.03,0.366,0.459,0.302,1.37,1.65,1.09
8.3,-35.82,-34.89,-36.7,0.332,0.396,0.287,1.81,2.09,1.52
8.9,-34.01,-33.04,-34.92,0.3,0.357,0.258,1.66,1.94,1.4
9.4,-32.33,-31.36,-33.28,0.281,0.342,0.237,2.14,2.53,1.75
10,-30.18,-29.22,-31.15,0.274,0.328,0.233,1.83,2.15,1.53
10.5,-28.35,-27.33,-29.37,0.276,0.324,0.238,1.81,2.1,1.54
11,-26.52,-25.44,-27.56,0.283,0.34,0.243,2.12,2.47,1.76
11.6,-24.4,-23.3,-25.41,0.289,0.365,0.237,1.73,2.11,1.37
12.1,-22.67,-21.55,-23.69,0.287,0.363,0.236,2.09,2.55,1.65
12.7,-20.58,-19.36,-21.74,0.278,0.339,0.237,1.8,2.11,1.47
13.2,-18.79,-17.54,-20.01,0.267,0.331,0.224,2.25,2.68,1.81
13.8,-16.53,-15.27,-17.8,0.257,0.332,0.211,1.95,2.37,1.51
14.3,-14.58,-13.31,-15.89,0.249,0.322,0.204,2.01,2.45,1.55
14.8,-12.56,-11.15,-14,0.242,0.301,0.206,2.48,2.92,1.99
15.4,-10.08,-8.46,-11.76,0.236,0.283,0.202,2.12,2.48,1.76
15.9,-7.97,-6.35,-9.74,0.228,0.282,0.194,2.63,3.1,2.13
16.5,-5.35,-3.72,-7.14,0.217,0.273,0.181,2.3,2.76,1.83
17,-3.06,-1.39,-4.93,0.205,0.252,0.173,2.44,2.89,1.98
17.5,-0.64,1.19,-2.58,0.191,0.225,0.165,3.14,3.65,2.66
18.1,2.48,4.38,0.46,0.177,0.205,0.156,2.82,3.21,2.44
18.6,5.3,7.22,3.23,0.163,0.195,0.141,3.67,4.27,3.07
19.2,8.97,10.77,6.95,0.155,0.192,0.131,3.23,3.82,2.61
19.7,12.22,14.09,10.16,0.15,0.185,0.127,3.33,3.93,2.71
20.2,15.57,17.57,13.32,0.148,0.181,0.124,4.07,4.83,3.32
20.8,19.64,21.9,17.28,0.148,0.188,0.121,3.37,4.13,2.65
21.3,23.04,25.46,20.49,0.148,0.19,0.12,4.06,4.98,3.17
21.9,27.1,29.91,24.24,0.148,0.183,0.122,3.39,4.1,2.74
22.4,30.5,33.59,27.56,0.146,0.186,0.12,3.42,4.18,2.69
