core_ID,drive_ID,top_sam_#,bot_sam_#,top_cm,bot_cm,top_age,bot_age,d15N,%N,d13C,%C,C:N_atomic_ratio,bulk_density,C_acc,  MS_SI
CH07,sh,1,4,0.8,2.9,-60,-54,0.08,2,-27.33,19.07,11.12,0.41,2.57,NaN
CH07,sh,5,8,2.9,5.1,-54,-44,-0.13,1.4,-26.89,15.15,12.59,0.03,0.11,NaN
CH07,sh,9,13,5.1,7.8,-44,-37,-0.23,1.43,-25.73,16.67,13.59,0.29,1.8,NaN
CH07,sh,14,18,7.8,10.5,-37,-28,-0.3,1.28,-26.03,14.01,12.76,0.34,1.44,8.90E-06
CH07,sh,19,22,10.5,12.7,-28,-21,-0.19,1.19,-25.91,12.72,12.47,0.39,1.43,1.17E-05
CH07,sh,23,26,12.7,14.8,-21,-13,0.04,1.15,-26.78,12.94,13.12,0.45,1.55,1.39E-05
CH07,sh,27,29,14.8,16.5,-13,-5,0.19,1.1,-26.82,13.23,14.03,0.4,1.25,1.38E-05
CH07,sh,30,32,16.5,18.1,-5,2,0.41,1.19,-28.21,14.61,14.32,0.4,1.19,1.42E-05
CH07,sh,33,34,18.1,19.2,2,9,0.4,1.33,-28.24,16.16,14.17,0.41,1.13,1.44E-05
CH07,sh,35,36,19.2,20.2,9,16,-0.08,1.41,-27.65,16.64,13.76,0.33,0.84,2.30E-05
CH07,sh,37,38,20.2,21.3,16,23,-0.31,1.55,-27.96,17.33,13.04,0.34,0.88,2.53E-05
CH07,sh,39,40,21.3,22.4,23,30,-0.35,1.53,-27.14,18.05,13.76,0.37,0.99,1.93E-05
CH07,sh,41,42,22.4,23.5,30,38,-0.34,1.9,-27.54,21.06,12.93,0.24,0.73,1.44E-05
CH07,sh,43,44,23.5,24.6,38,46,-0.38,1.97,-27.64,22.69,13.43,0.17,0.56,9.80E-06
CH07,sh,45,46,24.6,25.6,46,52,-0.22,1.64,-27.19,19.17,13.63,0.3,1.61,3.40E-06
CH07,sh,47,48,25.6,26.7,52,59,-0.31,1.59,-27.37,19.09,14,0.3,0.94,1.30E-06
CH07,sh,49,50,26.7,27.8,59,62,-0.35,1.46,-28.06,15.2,12.14,0.2,0.51,2.00E-06
CH07,sh,51,52,27.8,28.9,62,69,-0.16,1.69,-27.57,20.31,14.01,0.18,0.59,5.00E-07
CH07,sh,53,54,28.9,30,69,78,0.09,1.71,-26.5,22.31,15.22,0.27,1.01,1.60E-06
CH07,sh,55,56,30,31.1,78,85,-0.06,1.17,-28.92,12.18,12.14,0.29,0.59,1.30E-06
CH07,sh,57,58,31.1,32.1,85,90,0.21,1.71,-26.92,20.13,13.73,0.24,0.8,-1.70E-06
CH07,sh,59,60,32.1,33.2,90,97,0.55,1.66,-26.52,19.1,13.42,0.2,0.65,-1.90E-06
CH07,sh,61,62,33.2,34.3,97,103,0.85,1.8,-26.74,18.02,11.67,0.26,0.8,-2.30E-06
CH07,sh,63,64,34.3,35.4,103,109,0.26,1.75,-27.29,19.12,12.74,0.32,1.03,-4.40E-06
CH07,sh,65,66,35.4,36.5,109,116,0.26,1.69,-27.16,17.51,12.08,0.27,0.82,-1.00E-07
CH07,sh,67,68,36.5,37.5,116,128,0.51,1.68,-27.08,18.15,12.6,0.32,1.02,5.00E-07
CH07,sh,71,71,38.6,39.2,128,131,0.43,1.28,-26.68,14.07,12.82,0.3,0.76,3.80E-06
CH07,sh,72,72,39.2,39.7,131,134,0.32,1.3,-27.09,13.62,12.22,0.29,0.7,5.10E-06
CH07,sh,73,73,39.7,40.3,134,137,0.2,1.36,-27.09,13.44,11.52,0.26,0.62,1.44E-05
CH07,sh,74,74,40.3,40.8,137,140,0.19,1.29,-27.13,13.99,12.65,0.36,0.92,8.61E-05
CH07,sh,75,75,40.8,41.3,140,142,0.25,1.28,-27.11,14.29,13.02,0.34,0.89,7.70E-05
CH07,sh,76,76,41.3,41.9,142,146,-0.07,1.36,-27.25,14.62,12.54,0.24,0.65,4.25E-05
CH07,sh,77,77,41.9,42.4,146,148,-0.04,1.26,-27.35,13.12,12.14,0.29,0.72,4.30E-05
CH07,sh,78,78,42.4,43,148,152,-0.08,1,-26.97,10.16,11.85,0.11,0.22,5.29E-05
CH07,sh,79,79,43,43.5,152,154,0.62,0.49,-26.33,5.48,13.04,0.73,0.77,7.15E-05
CH07,sh,80,80,43.5,44,154,157,0.9,0.49,-26.45,6.11,14.54,0.71,0.83,9.59E-05
CH07,sh,81,81,44,44.5,157,159,-0.13,0.92,-28.59,9.71,12.31,0.51,0.97,8.73E-05
CH07,sh,82,82,44.5,45,159,162,-0.44,1.67,-29.64,17.42,12.16,0.22,0.75,6.37E-05
CH07,sh,83,83,45,45.4,162,164,0.25,1.74,-29.32,20.44,13.7,0.28,1.13,4.86E-05
CH07,sh,84,84,45.4,45.9,164,167,0.48,2.09,-28.98,25.33,14.13,0.18,0.9,2.86E-05
CH07,sh,85,85,45.9,46.4,167,169,0.47,2.12,-29,25.47,14.01,0.18,0.91,1.57E-05
CH07,sh,86,86,46.4,46.9,169,172,0.6,2.03,-29.21,25.81,14.83,0.16,0.81,1.10E-05
CH07,sh,87,87,46.9,47.4,172,174,0.29,1.96,-29.18,23.55,14.01,0.19,0.93,3.30E-06
CH07,sh,88,88,47.4,47.9,174,177,0.36,1.99,-28.86,24.29,14.23,0.2,0.98,8.00E-07
CH07,sh,89,89,47.9,48.3,177,179,0.58,1.97,-28.53,26.43,15.65,0.16,0.86,-1.30E-06
