cm Top_i (cm)                   ,age Top_i (yr BP)              ,char Count_i (#)               ,char Vol_i (cm3)               ,char Con_i (# cm-3)            ,char Acc_i (# cm-2 yr-1)       ,charBkg (# cm-2 yr-1)          ,char Peak (# cm-2 yr-1)        ,thresh 1 (# cm-2 yr-1)         ,thresh 2 (# cm-2 yr-1)         ,thresh 3 (# cm-2 yr-1)         ,thresh FinalPos (# cm-2 yr-1)  ,thresh FinalNeg (# cm-2 yr-1)  ,SNI (index)                    ,thresh GOF (p-val)             ,peaks 1                        ,peaks 2                        ,peaks 3                        ,peaks Final                    ,peaks Insig.                   ,peak Mag (# cm-2 peak-1)       ,smPeak Frequ (peaks 1ka-1)     ,smFRIs (yr*fire-1)             ,nFRIs (#)                      ,mFRI (yr fire-1)               ,mFRI_uCI (yr fire-1)           ,mFRI_lCI (yr fire-1)           ,WBLb (yr)                      ,WBLb_uCI (yr)                  ,WBLb_lCI (yr fire-1)           ,WBLc (unitless)                ,WBLc_uCI (unitless)            ,WBLc_lCI (unitless)            
0.8                             ,-60                            ,0.4                            ,3                              ,0.13333                        ,0.039333                       ,0.045808                       ,-0.0064744                     ,0.032075                       ,0.063313                       ,0.098328                       ,0.098328                       ,-0.18497                       ,70.3625                        ,0.74191                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.4534                         ,NaN                            ,33                             ,121.5152                       ,91.0606                        ,151.6667                       ,127.1318                       ,94.5645                        ,160.9433                       ,1.3568                         ,1.1827                         ,1.6625                         
3.75                            ,-50                            ,0.1                            ,3                              ,0.033333                       ,0.0098333                      ,0.055728                       ,-0.045895                      ,0.048442                       ,0.085113                       ,0.12622                        ,0.12622                        ,-0.20636                       ,68.3921                        ,0.68556                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.5114                         ,NaN                            ,-999                           ,-999                           ,-999                           ,-999                           ,-999                           ,-999                           ,-999                           ,-999                           ,-999                           ,-999                           
6.7                             ,-40                            ,0.8                            ,3                              ,0.26667                        ,0.088                          ,0.065686                       ,0.022314                       ,0.064908                       ,0.10704                        ,0.15428                        ,0.15428                        ,-0.22786                       ,66.4403                        ,0.62344                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.5691                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
10                              ,-30                            ,1.1                            ,3                              ,0.36667                        ,0.10817                        ,0.075687                       ,0.03248                        ,0.08147                        ,0.1291                         ,0.1825                         ,0.1825                         ,-0.24949                       ,64.5075                        ,0.62454                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.6265                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
12.95                           ,-20                            ,0.5                            ,3                              ,0.16667                        ,0.040833                       ,0.085735                       ,-0.044902                      ,0.098123                       ,0.15128                        ,0.21087                        ,0.21087                        ,-0.27124                       ,62.5936                        ,0.62589                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.6838                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
15.4                            ,-10                            ,2.9                            ,3                              ,0.96667                        ,0.22233                        ,0.095835                       ,0.1265                         ,0.11486                        ,0.17357                        ,0.23938                        ,0.23938                        ,-0.29308                       ,60.6982                        ,0.7491                         ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.7407                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
17.7                            ,0                              ,1.8                            ,3                              ,0.6                            ,0.1                            ,0.10599                        ,-0.0059909                     ,0.13166                        ,0.19595                        ,0.26801                        ,0.26801                        ,-0.31503                       ,58.8212                        ,0.85073                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.7974                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
19.3667                         ,10                             ,3.4                            ,3                              ,1.1333                         ,0.16244                        ,0.11621                        ,0.046237                       ,0.14852                        ,0.21841                        ,0.29675                        ,0.29675                        ,-0.33706                       ,56.9621                        ,0.79315                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.8539                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
20.8                            ,20                             ,4                              ,3                              ,1.3333                         ,0.21333                        ,0.12649                        ,0.086847                       ,0.16543                        ,0.24093                        ,0.32556                        ,0.32556                        ,-0.35916                       ,55.1207                        ,0.81328                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.9101                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
22.4                            ,30                             ,2.8                            ,3                              ,0.93333                        ,0.13378                        ,0.13683                        ,-0.0030539                     ,0.18237                        ,0.2635                         ,0.35443                        ,0.35443                        ,-0.38131                       ,53.2962                        ,0.8992                         ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.9661                         ,147.1681                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
