Sample_ID,sample_number,top_cm,age_yrBP,Pinus hap,Pinus dip,Pinus undiff,Picea,Abies,Pseudotsuga/Larix,Juniperus-type,Tsuga heterophylla,Tsuga mertensiana,Taxus brevifolia,Myrica,Ericaceae,Alnus,Alnus rubra-type,Alnus sinuata-type,Corylus,Betula,Salix,P. balsamifera-type,P. tremuloides-type,Populus undiff.,Fraxinus,Quercus,Sambucus,Acer incana,Rosaceae,Prunus,Spiraea,Amelanchier,Rubus,Potentilla,Ceanothus,Shepherdia,Eleagnus argentea-type,Rhus,Arceuthobium,Ephedra,Sarcobatus,Unknown betuloid,Other trees and shrubs,Cereal-type,Poaceae,Cyperaceae,Artemisia,Ambrosia-type,Iva ciliata-type,Iva xanthifolia-type,Bidens-type,Other Tubuliflorae,Liguliflorae,Chenopodiineae,Salsola-type,Other Ranuncula,Thalictrum,Umbelliferae,Brassicaceae,Caryophyllaceae,Other Polygonaceae,Polygonum bistortoides,Polygonum californicum-type,Eriogonum,Rumex,Onagraceae,Galium,Lamiaceae,Berberis,Scrophulariaceae-type,Saxifragaceae,Fabaceae,Liliaceae,Camassia-type,Caprifoliaceae,Plantago,Plantago-unknown,Valeriana,Phlox-type,Gilia-type,Sphaeralcea,Linum,Dodecatheon-type,Urtica-type,Other herbs,C Pteridium-type,Dryopteris-type,Lycopodium,Botrychium-type,Selaginella densa-type,Indeterminate-type,Unknown,Equisetum,Sparganium-type,Typha latifolia,Sparganium-type,Potamogeton,Myriophyllum,Ruppia,Sagittaria,Nuphar,Brasenia,Polygonum amphibium-type,Lemna,Menyanthes,Isoetes
CH07sh,1,0.8,-60,0,56.03,28.02,7.59,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0.39,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0.78,0,3.5,0,0,0,0,1.56,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH07sh,30,16.5,-5,0,56.45,21.56,0.99,0.57,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,8.51,1.13,0,0,0,0.28,0,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH07sh,60,32.7,94,0,26.4,18.15,2.64,0,0.33,3.96,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,4.29,0,0,0.66,0,0,0,0,0,0,0,0,0,0.99,0,0.33,0,0,0,1.32,0.66,23.43,0.33,0,0,0,2.64,0,8.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,1.65,0,0,0,0,0,0,0,0,0.99,0,0,0,0,
CH07sh,70,38.1,125,1.59,42.59,26.19,7.14,1.06,0.26,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0.26,0,0.53,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0.26,0,13.76,1.06,0,0,0,1.32,0,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,0,0,0,0,
CH07sh,80,43.5,154,3.04,41.89,41.22,8.78,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0.34,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH07sh,90,48.3,179,0.33,33.44,38.03,6.23,0.98,0.33,0.66,0,0,0,0,0,0,0,0.66,0,0,0.98,0,0,0,0,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.82,0,0,0,0,0.66,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH07sh,105,52.2,198,0.68,40.27,19.11,7.51,1.71,0.34,1.02,0,0,0,0,0,0,0,0.34,0,0,0.34,0,0,0,0,2.39,0,0,1.37,0,0.34,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0.68,17.75,1.02,0,0,0,2.05,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,
CH07sh,120,63.1,257,0.64,39.94,29.39,2.24,0.64,0.64,0.64,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,2.88,0,0,0,0,0.96,0,0,0,0,0,0,0,1.28,0,0.96,0,0,0,0,0,14.7,0.32,0,0,0,0.96,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH07sh,135,70.8,307,0.47,50.71,16.04,9.67,0.24,1.18,2.83,0,0,0,0,0,0,0,0,0,0.24,1.42,0,0,0,0,0.94,0,0,0.47,0,1.42,0.47,0,0,0,0,0,0,0.47,0,0,0,0,0,0.24,0,10.14,0.24,0,0,0,1.18,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,
CH071A,127,85.5,414,0,33.01,23.08,13.14,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0.64,0,0,0,0,0.64,0.32,0,0,0,0,0,0,0.64,0,0.96,0,0,0,0.96,0.32,20.83,0.64,0,0,0,0.32,0,3.21,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
